,bat_team_Chennai Super Kings,bat_team_Delhi Daredevils,bat_team_Kings XI Punjab,bat_team_Kolkata Knight Riders,bat_team_Mumbai Indians,bat_team_Rajasthan Royals,bat_team_Royal Challengers Bangalore,bat_team_Sunrisers Hyderabad,bowl_team_Chennai Super Kings,bowl_team_Delhi Daredevils,bowl_team_Kings XI Punjab,bowl_team_Kolkata Knight Riders,bowl_team_Mumbai Indians,bowl_team_Rajasthan Royals,bowl_team_Royal Challengers Bangalore,bowl_team_Sunrisers Hyderabad,overs,runs,wickets,runs_last_5,wickets_last_5
178,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5,82,3,53,2
179,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,83,3,50,2
180,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.1,85,3,52,2
181,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.2,86,3,52,2
182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.3,87,3,49,2
183,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.4,87,3,45,2
184,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,87,3,45,2
185,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.6,88,3,46,2
186,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.1,94,3,48,2
187,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.2,95,3,43,2
188,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.3,97,3,45,2
189,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,97,3,44,2
190,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.5,103,3,50,2
191,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.6,107,3,54,2
192,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.1,113,3,56,2
193,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.2,117,3,60,1
194,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.3,118,3,60,1
195,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.4,124,3,64,1
196,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.5,125,3,64,1
197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.6,127,3,65,1
198,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.0,128,3,66,0
199,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.1,128,4,65,1
200,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.2,129,4,66,1
201,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.2,130,4,66,1
202,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.3,130,4,60,1
203,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.4,131,4,61,1
204,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.5,132,4,61,1
205,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.6,133,4,58,1
206,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.1,134,4,58,1
207,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.2,134,4,58,1
208,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,135,4,53,1
209,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.4,136,4,53,1
210,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.5,142,4,57,1
211,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.6,143,4,57,1
212,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.1,147,4,60,1
213,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.2,148,4,61,1
214,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.3,150,4,63,1
215,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.4,151,4,63,1
216,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.5,155,4,61,1
217,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14.6,161,4,66,1
218,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.1,167,4,70,1
219,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.2,167,4,70,1
220,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.3,167,5,64,2
221,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.4,167,5,60,2
222,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.5,168,5,55,2
223,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.6,169,5,52,2
224,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.1,170,5,52,2
225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.2,171,5,47,2
226,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.3,177,5,52,2
227,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.4,181,5,54,2
228,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.5,182,5,54,2
229,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.6,183,5,55,1
230,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.1,183,5,54,1
231,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.2,187,5,57,1
232,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.3,188,5,58,1
233,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.4,190,5,59,1
234,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.5,196,5,64,1
235,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17.6,200,5,67,1
236,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.1,204,5,70,1
237,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.2,205,5,71,1
238,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.3,206,5,71,1
239,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.4,207,5,71,1
240,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.5,213,5,71,1
241,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.6,215,5,72,1
242,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.1,221,5,74,1
243,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.2,227,5,79,1
244,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.3,231,5,81,1
245,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.4,232,5,81,1
246,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.5,238,5,83,1
247,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.6,240,5,79,1
279,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5.1,37,2,37,2
